game_id,inning,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,home_lob,away_lob
718750,5,1,1,1,1,0,0,1,1
718750,6,1,3,2,3,0,0,1,1
718750,7,0,0,0,0,0,0,0,0
718750,8,2,0,1,0,0,0,2,0
718750,9,,0,0,0,0,0,0,0
718749,1,5,0,3,0,0,0,1,0
718749,2,0,1,0,1,0,0,1,0
718749,3,0,0,1,1,0,0,1,1
718749,4,0,0,0,1,0,0,0,1
718749,5,3,0,2,1,0,0,0,0
718749,6,0,0,0,0,0,0,0,0
718749,7,1,0,1,0,1,0,0,1
718749,8,1,0,1,1,0,0,0,1
718749,9,,0,0,0,0,0,0,0
718746,1,0,0,1,1,0,0,1,2
718746,2,0,0,0,1,0,0,0,1
718746,3,0,0,1,0,0,0,1,0
718746,4,0,1,0,1,0,0,0,0
718746,5,0,0,0,1,0,0,0,1
718746,6,0,0,0,0,0,1,0,0
718746,7,0,1,0,1,0,0,0,0
718746,8,0,0,1,0,0,0,2,0
718746,9,0,0,0,0,0,0,0,2
718742,1,0,0,0,0,0,0,1,0
718742,2,0,0,0,0,0,0,0,1
718742,3,0,0,1,0,0,0,1,0
718742,4,1,0,1,0,0,0,0,0
718742,5,0,0,0,0,0,0,0,0
718742,6,3,0,3,0,0,0,2,0
718742,7,0,0,1,1,0,0,1,1
718742,8,1,0,2,0,0,0,1,0
718742,9,,1,0,1,0,0,0,0
718748,1,1,0,2,0,0,0,3,0
718748,2,1,0,1,1,0,0,0,2
718748,3,1,0,2,0,0,0,1,0
718748,4,0,0,0,1,0,0,0,0
718748,5,3,3,4,3,0,1,2,0
718748,6,0,0,0,0,0,0,0,1
718748,7,2,2,4,3,0,0,3,1
718748,8,1,0,1,1,0,1,1,1
718748,9,,0,0,1,0,0,0,1
718743,1,4,0,3,0,0,0,2,0
718743,2,0,0,1,0,0,0,1,0
718743,3,0,0,0,0,0,0,0,0
718743,4,0,1,2,2,0,0,1,2
718743,5,0,0,0,0,0,0,1,0
718743,6,0,0,0,1,0,0,0,1
718743,7,0,0,0,1,0,0,0,1
718743,8,0,0,0,0,0,0,0,1
718743,9,,0,0,0,0,0,0,0
718747,1,0,0,1,1,0,0,3,1
718747,2,0,0,0,0,0,0,0,0
718747,3,3,0,4,0,0,0,1,0
718747,4,1,0,1,0,0,0,0,0
718747,5,0,0,0,1,0,0,0,1
718747,6,0,0,0,1,1,0,0,2
718747,7,2,0,0,0,0,0,1,0
718747,8,0,0,1,0,0,0,1,1
718747,9,,0,0,0,0,0,0,1
718744,1,0,0,0,0,0,0,0,0
