"pitch_speed_mph","max_shoulder_internal_rotational_velo","max_torso_rotational_velo","max_shoulder_external_rotation","shoulder_horizontal_abduction_fp","pelvis_anterior_tilt_fp","max_cog_velo_x","glove_shoulder_external_rotation_fp","torso_lateral_tilt_br","lead_knee_extension_from_fp_to_br","stride_angle","max_shoulder_horizontal_abduction","shoulder_generation_fp_br","elbow_absorption_fp_br","lead_knee_transfer_fp_br","rear_hip_generation_pkh_fp"
83.5,4486.2409,1052.1824,174.9484,47.0897,13.0795,3.1833,-31.6738,4.3859,8.2863,10.4812,57.7358,6.1103,34.2693,48.4763,171.2093
83.3,4441.2261,1161.7748,166.3496,37.1695,10.5732,3.0026,-57.2515,23.5156,5.4177,0.6424,43.9815,31.2143,74.4131,48.3247,97.4755
83.4,4456.6903,1173.0085,167.2183,36.9751,8.151,3.039,-57.3234,24.5492,3.062,0.4589,44.0208,32.2817,73.2116,50.2468,99.6863
83.7,4426.6287,997.7476,146.6213,46.9888,-7.7813,3.2385,-42.1172,20.535,-7.2319,1.1526,52.8678,34.4022,58.3612,27.5138,100.1714
85.2,4379.3845,1027.4042,147.5378,49.5324,-7.7322,3.221,-43.5755,20.6582,-2.5464,1.0121,53.5663,34.2258,61.6818,42.8829,102.2741
83.5,4552.2199,1013.8102,149.9542,48.5154,-8.3972,3.2021,-43.149,19.7383,-6.3792,1.6862,54.8273,45.2988,70.1692,14.7937,100.9391
73.8,4149.3097,1001.1339,148.5305,16.9501,14.8519,2.6374,-32.9702,16.995,13.8185,4.2788,22.7319,52.0534,84.2161,61.4537,185.6267
74,4072.0463,960.137,153.6974,23.5461,16.6759,2.8019,-33.5346,16.4532,5.6822,3.4574,29.7572,55.7536,89.6884,57.8819,198.9583
74.3,4324.9785,957.2934,152.8364,22.7658,13.3391,2.8207,-33.1423,20.1645,-2.3897,4.2096,26.6915,46.628,84.4927,44.9944,213.7789
75.2,4271.1398,999.367,152.614,20.1123,14.1785,2.7291,-37.7311,16.0317,11.3432,2.9129,27.5039,50.2094,88.0085,63.1236,193.336
79.6,4387.4938,1027.4269,178.3174,47.6267,6.504,3.0566,-28.6803,31.3846,-1.5394,1.8608,64.7362,19.8179,38.5604,52.3332,89.7546
79.8,4342.7952,1024.9545,178.24,44.4896,4.4368,3.093,-30.0126,31.9885,-0.1183,3.8914,63.5227,22.1984,40.4374,54.861,90.8045
80.2,4360.3885,1018.6888,178.5277,48.7996,6.1653,3.093,-25.4244,30.1629,-1.6009,5.0523,65.0943,18.5819,41.3926,52.78,85.7199
80.6,4387.7032,1036.5796,177.902,44.5131,5.2617,3.1482,-28.2557,32.9013,-4.8082,3.7124,62.7989,21.7388,41.6031,52.1884,95.9327
81.1,4408.0326,1103.4559,168.4869,27.2286,1.1364,3.1657,-77.518,27.7197,3.5412,3.7352,61.5447,40.8479,60.6241,24.7263,91.3406
80.8,4483.7361,1100.012,168.1608,28.7477,2.5861,3.1833,-80.2728,27.1421,0.4074,3.3958,65.384,36.7145,58.3121,23.3942,83.3262
81.3,4321.9842,1072.1819,168.5074,24.3497,4.2201,3.2021,-81.8133,27.1349,1.5471,3.8004,63.3806,40.6035,59.0167,22.9496,93.9739
81.2,4362.3438,1106.216,168.3182,21.8072,1.6647,3.1833,-81.1559,29.3041,2.7133,4.8165,60.7751,39.7957,58.8537,23.2713,94.5069
81.2,4491.4238,1086.8808,167.7306,21.1413,2.7376,3.2021,-79.6578,30.0307,3.5234,4.0023,61.6435,44.0752,61.6792,29.581,124.0339
89.3,4468.8557,1165.8554,173.4894,55.3765,3.3127,2.9649,-53.4041,14.9913,12.47,-1.1692,60.7649,40.7496,62.222,57.4421,113.5999
88.9,4542.3335,1207.0944,175.3444,44.9411,4.5168,3.0026,-67.2337,16.545,20.5175,-1.2447,57.5393,37.9736,67.3371,51.7169,135.5967
88.8,4539.1108,1204.4006,177.2152,49.9945,1.5748,3.039,-59.0975,16.5033,19.5062,-2.9005,58.3127,44.6361,72.0086,57.1347,166.605
89.6,4607.1953,1200.3848,174.953,50.9565,2.9567,3.0741,-63.0691,15.0138,19.5598,-2.9037,55.3313,41.3851,66.2316,59.6457,128.5381
89.1,4599.3673,1215.3875,176.0887,48.3001,2.4785,3.093,-62.3794,16.3154,17.0236,-2.132,57.3215,42.8563,69.8176,49.8025,175.8921
83.5,4646.7217,959.3769,166.0445,45.7169,18.9648,3.039,-10.3047,14.5033,19.72,2.5951,46.7817,31.6018,55.5125,29.163,160.7842
83.4,4631.7266,977.37,166.7035,46.1776,16.8136,3.1105,-9.1406,18.2793,16.8386,1.9704,47.5511,30.5764,53.5167,29.8467,141.4283
83.4,4660.3017,961.7443,164.9287,46.7227,17.3545,3.0377,-7.5028,15.0817,18.6323,0.3569,49.8113,32.664,52.5061,27.1848,155.0097
83.7,4633.6098,977.4161,166.4415,46.0959,13.9223,3.0754,-3.7194,18.1322,20.1745,1.0414,47.1233,32.608,53.8451,34.9637,170.3423
83.5,4612.4496,992.7994,165.8914,46.5204,18.9143,3.093,-7.3655,19.0758,20.1994,0.7415,48.326,39.2271,61.4597,30.102,139.7587
87.5,3980.3066,1032.5166,179.0422,33.9739,11.5802,3.2021,-44.3258,27.5141,10.6319,5.5059,36.445,49.2372,67.2289,45.542,192.9596
