PLAYER_NAME,total_shots,made_shots,avg_shot_dist,avg_close_def_dist
richard jefferson,229,102,15.677292576419214,4.270305676855895
jonas jerebko,228,106,15.758771929824562,5.257894736842105
quincy acy,228,109,13.057456140350876,4.701315789473685
tony snell,226,105,17.034513274336284,4.914159292035398
shawn marion,224,99,9.263839285714285,3.7700892857142856
jeremy lamb,220,94,17.616818181818182,4.280454545454545
jon ingles,218,89,18.66697247706422,5.687155963302752
jerami grant,215,81,13.46046511627907,4.224186046511628
pero antic,215,78,18.266976744186046,5.311162790697675
ronnie price,212,72,17.596698113207548,4.420754716981132
kyle oquinn,208,102,12.729807692307693,4.6216346153846155
alexis ajinca,205,122,8.254634146341463,3.6370731707317074
matthew dellavedova,205,72,18.209756097560977,5.6536585365853655
nick collison,205,84,12.093658536585364,4.43219512195122
ramon sessions,204,65,11.860784313725489,3.8588235294117648
jakarr sampson,203,94,11.960591133004925,4.195073891625616
kent bazemore,200,89,13.3685,4.984
thabo sefolosha,200,84,11.6655,4.498
shabazz napier,199,73,18.289949748743716,4.552763819095477
matt bonner,194,77,18.062886597938142,5.5097938144329905
chase budinger,191,72,15.576439790575916,4.20261780104712
damjan rudez,191,81,20.605759162303663,5.332984293193717
cole aldrich,188,91,6.265425531914894,2.6803191489361704
nik stauskas,186,65,18.2494623655914,4.6752688172043015
kendrick perkins,183,81,5.636065573770492,3.0295081967213116
kostas papanikolaou,176,61,15.749431818181819,5.4988636363636365
glen davis,174,83,8.033333333333333,3.7321839080459767
cj mccollum,170,67,16.545294117647057,4.564117647058824
andre miller,169,94,8.558579881656804,2.9100591715976334
pablo prigioni,168,69,21.30654761904762,5.625
andre roberson,165,75,12.18,5.195757575757575
luke babbitt,156,73,19.69551282051282,5.990384615384615
garrett temple,154,60,17.397402597402596,5.41948051948052
travis wear,154,65,16.87922077922078,4.92077922077922
james ennis,154,58,14.181818181818182,4.635064935064935
jimmer dredette,144,53,14.478472222222223,4.496527777777778
chris andersen,135,79,6.291851851851852,3.425925925925926
alonzo gee,133,65,8.772932330827068,4.106766917293234
udonis haslem,132,57,9.06060606060606,3.65
jason maxiell,124,51,8.64516129032258,3.3499999999999996
robbie hummel,113,53,15.709734513274336,5.29646017699115
bismack biyombo,112,63,3.9330357142857144,2.3598214285714287
aaron gordon,102,53,10.206862745098038,4.186274509803922
hedo turkoglu,99,43,21.610101010101012,5.315151515151515
mike miller,93,29,23.523655913978494,6.259139784946237
alan crabbe,92,39,19.053260869565218,5.683695652173912
joe harris,92,37,19.631521739130434,5.375
jerome jordan,87,47,4.829885057471264,2.595402298850575
greg smith,46,29,2.630434782608696,2.6913043478260867
